Yachtski Score,Artist,Title
100.0,Doobie Brothers,What a Fool Believes
99.625,Kenny Loggins,Heart to Heart
98.5,Michael McDonald,I Keep Forgettin' (Every Time You're Near)
98.25,Kenny Loggins,This Is It
96.75,Airplay,Nothin' You Can Do About It
96.125,Kenny Loggins,"Who's Right, Who's Wrong"
95.75,Toto,Rosanna
95.5,Michael Jackson,Human Nature
95.0,Al Jarreau,Girls Know How
94.5,Boz Scaggs,Lowdown
94.5,Christopher Cross,Sailing
94.5,Maxus,Nobody's Business
94.25,George Benson,Turn Your Love Around
94.0,Robbie Dupree,Steal Away
93.75,Christopher Cross,Ride Like the Wind
93.75,Steely Dan,FM (No Static at All)
93.5,Al Jarreau,Never Givin' Up
93.5,Christopher Cross,All Right
93.5,Marc Jordan,Margarita
93.0,Toto,Africa
92.75,Al Jarreau,Mornin'
92.5,Roby Duke,Seasons of Change
92.5,Tom Scott,Sure Enough
92.0,Bill LaBounty,Livin’ It Up
92.0,Marc Jordan,Love Like A Wheel
92.0,Steely Dan,Peg
92.0,Toto,Make Believe
91.5,Doobie Brothers,Minute By Minute
91.5,James Ingram,Try Your Love Again
91.5,Pages,"Who’s Right, Who’s Wrong"
91.25,Bill Champlin,Runaway
91.25,Brenda Russell,I Want Love To Find Me
91.25,Nielsen/Pearson,If You Should Sail
91.0,Christopher Cross,Never Be The Same
91.0,Kerry Chater,Ain't Nothin' For a Heartache
91.0,Larsen-Feiten Band,Who'll Be the Fool Tonight
91.0,Pablo Cruise,Love Will Find A Way
91.0,Patti Austin & James Ingram,"Baby, Come to Me"
91.0,Steely Dan,Deacon Blues
90.75,Steely Dan,Black Cow
90.75,Steely Dan,Kid Charlemagne
90.75,Waters,If There's a Way
90.5,Diana Ross,That's How You Start Over
90.5,Homi & Jarvis,I'm In Love Again
90.5,Michael McDonald,Playin’ By The Rules
90.5,Paul Anka,Take Me In Your Arms
90.25,Al Jarreau,Closer To Your Love
90.25,Seawind,"Love Him, Love Her"
90.125,Roby Duke,Can't Stop Runnin'
90.0,Bill LaBounty,Dream On
90.0,Pages,You Need a Hero
90.0,Quincy Jones w/ Patti Austin,Something Special
89.75,Al Jarreau,Trouble In Paradise
89.75,Dwayne Ford,Lovin' and Losin' You
89.75,Finis Henderson,Blame It On The Night
89.5,Christopher Cross,I Really Don't Know Anymore
89.25,Al Jarreau,I Will Be There For You (Nitakungodea Milele)
89.25,Al Jarreau,My Old Friend
89.25,Pages,Tell Me
89.25,Steely Dan,Time Out Of Mind
89.25,Stevie Woods,Just Can't Win 'Em All (Old Score)
89.0,Bill Labounty,Comin’ Back
89.0,Boz Scaggs,Lowdown (Old Score)
89.0,Brothers Johnson,In the Way
89.0,Michael Jackson,Baby Be Mine
89.0,Pablo Cruise,You're Out to Lose
89.0,Steely Dan,Babylon Sisters
88.75,Bill Champlin,I Don't Want You Anymore
88.75,Larry Lee,Don't Talk
88.75,Michael McDonald,If That's What It Takes
88.75,Roby Duke,I’m Persuaded
88.5,Dave Raynor,I Can't Take It
88.5,David Roberts,Never Gonna Let You Go
88.5,Ray Parker Jr.,Christmas Time Is Here
88.25,"Earth, Wind & Fire",After the Love Has Gone
88.25,Jim Photoglo,Fool In Love With You
88.25,Johnny Mathis,The Best Is Yet To Come
88.25,Lauren Wood w/ Michael McDonald,Please Don't Leave
88.25,Michael McDonald,I Gotta Try
88.25,Robbie Dupree,Brooklyn Girls
88.25,Yoshino Fujimal,Bacardi
88.0,Bill LaBounty,When The Magic Works
88.0,Player,Some Things Are Better Left Unsaid
87.875,David Roberts,Boys of Autumn
87.85,Amy Holland,How Do I Survive
87.75,Alessi,Jagged Edge
87.75,Bill LaBounty,Livin' It Up (Old Score)
87.75,Bill LaBounty,Trail To Your Heart (Sailing Without a Sail)
87.75,David Roberts,Anywhere You Run To
87.75,George Duke,You
87.75,Pointer Sisters,He's So Shy
87.5,Bobby Martin,Show Me The Light
87.5,John Martyn,Livin' Alone
87.5,Sanford-Townsend Band,Oriental Gate (No Chance Changin' My Mind)
87.0,George Benson & Michael McDonald,What’s On Your Mind
